text,label
@byEmily OD on ice cream? I didn't even know that was possible! ,2
Photo: Looking all tired and sick  http://tumblr.com/xqu22yba6,0
Hope I wake up as planned to work out  mmmmm &quot;Hope so&quot; LOL,0
@MeredithKlein oh that's discreet ,2
"@miershyk it was at a pretty deserted road...it's usually a bustling business area but it's a sunday here, so yeah, pervert heaven? ",0
@OanaBercea its already the French Open  wow where does time go?,0
is not sleeping well lately ,0
"@Anddh aw that's good to hear  it was ok, the streets were extremely crowded though,it took us 4.5 onstead of 3 hours blah ;)",2
@pennykeating 3-7?!  I'll be good til about 5:30..then I'll be in the theater   Hopefully it'll be recorded ;),0
@cooperM Room for one more!  ,2
My throat kinda hurts ,0
Listening 2 Mike Jones  Any1 Wanna Chat?,2
"Loong day, havent slept in a day! Exhausted.  Goodnight  schoool in the morning  ( 7 more days of classes) SUMMERR!",2
@PrinceMiro get up lazy bones ,2
My eyes seem 2 be stinging a lot lately ,0
I realllly wanna hang out with him again sooon  booo.,0
"@aryousavvy yes, u definitely have earned it!! ",2
Watching some Japanese Anime ,2
"Hello, Good Morning all! Let us Tweet ",2
Already a good day ,2
Got a prom dress.  Finally.  Homework and blog later on tonight.    It's so damn hot in the Bay!  Why all of a sudden?!  &gt;:O,2
going to bed! good night Twitland! ,2
Still on the sofa in pjs not felling too good!! ,0
The episode is about No Doubt tix! Wow ,0
I've been neglectin twitter today! That's cause I've actually been doing somethin - not just sayin around ,2
@RQOCJD i found the full if you want the link ,2
@thehurricaneee I love Chelsea too! Haha. And your random tweets. Niiiiiice. ,2
@knotartwa ,2
i am bored bored bored of chemistry i want to play in the sun too ,0
@vulcanstev But that's what makes them SCARY! ,0
@tommcfly Goodnight Tom ,2
On our way to Bush Gardens today with two of the beautiful families the army has allowed us to meet.  I MIGHT ride the Griffion today!! ,2
I'm up and the skys are gray this am ,0
"@missgribby I ALWAYS do those...walgreens, restaurants, whoever hands them out, I fill them out. I never win ",0
Cant DM sulking ,0
I'm sad... My BFF argue with me ,0
My cousin in kansas ( @tbradshaw ) is getting married today! Congrats! Sad I couldn't go ,0
@PixelProject You're welcome. ,2
I just got mistaken for a boy by the postman ,0
@ajibahajibah tell that to my daddy ,0
Finally!  Have now just voted. Always have problems voting late at night for some reason ,0
@ejblackburn lol - I can feel an #openspacecode session being born ,2
@Barbayellow @thebluefrog thanks for the reply ! ,2
@dnaemerson ooohhh.... hiking where? and which thrift store? anything good? ,2
@chief1972 not with my iPhone 1st generation I would have to upgrade.  Waaaaaa ,0
Cleaning my room. May be I wont miss JONAS tonight...need to see the last some episodes during summer vaca-y.  3 more school days TGIW ...,0
Home now got a haircut lol.  ok go a table for place saw Julie and chris at ikea how awesome,0
Had A Wickeddd Night With Lillie...All Ruined By The Face By My Backk Started Playingg Up  xx Ohh Well Love Youu Girll xx 8 Days Onlyy,0
I hate working the late shift on Saturdays ,0
"@stephaniekate85 If I have one, I will! ",2
 my miu miu's need to be taken in ,0
Found a new Kobe JET in the facebook JET group.  Stalking time!!,2
"has 95% convinced her mom to take me to oregon. no matter what it takes, i will see Jer. ",2
@grantswilson sounds like you guys went through a whirlwind to get home! Glad to see you twittering! ,2
My Audi is so F'N dirty! Stupid wheather not letting me wash her ,0
"like any normal 25-year-old guy, i'm spending the day at my piano  goal: write a two-voice prelude... nothing super extravagant.",2
NAILED my interview ,2
http://www.overtherainbowshop.com/wallets.htm I just ordered the first wallet on this page ,2
"@amyjackson10 i was supposed to go to the first audition at the O2 this month, but bottled out and didn't go ",0
"Showreels are absolutely stupid [and -somehow- useful]. I made a new one. Take a look at www.pieromedone.com, mate. ",2
"@gwenny76 Yeah it was great! Not the best game but we won, hey! Great vibe in amongst all the Blues fans too! ",2
"i wanna go play basketball, but it's gonna rain  BASKETBALL IS LIFE",0
Im so sad that Danny is gone! ,0
Where'd everyone go?  Anyone there?,0
@jeffdnyla I heard it too ,0
Good words are worth much and cost little.  Make it a great day everyone.  Remember the choise is ours. ,2
@JimmyVo That last one was meant for you ,2
head hurts ,0
feeling a little ,0
Wish i was at Glasto ,0
Going to the mall ,2
@SebastianDavies I aint at work cause I feel so crap.  x,0
@AimyLeigh hey sorry i didnt reply twitter was being gay  x,0
@heykia I don't know how I can help you ,0
is sad.. ,0
just woke decided to fix my hair and lay around today since its raining...blahh ,0
Shinichi Osawa will start his North American tour very soon. Wish I could go to the New York concert. Fatboy Slim will be there. ,0
@ggen lmao okies then if u have to go ima go mimis already lol ttyl gessie and love ya ,2
is getting stressed with t-mobile ,0
I really really really wish my tablet was still working so that I could photoshop over it. ,0
Hate when its so foggy that I can't see the statue of liberty on the way to work. ,0
@fragilegrace Noooo!!!! *chains you to the nearest pipe* ,0
"Ow, landed on my head trying to do a back flip...fail. ",0
catching up with friends... ,2
"@AngliaSolutions Yea she is! She had kittens last year, so we have another tabby and a black and ginger kind of tabby  x",2
Sensation Ocean of White Portugal: absolutely amazing  Adoreiii!,2
@RadoDaBoss whatcha doing? in the bed again?? lol  ,2
@rawwksaan just got home from work super long day finished off with a couple of martinis and now drinking wine ,2
Just over two weeks left at LTS and much left to do before I go. A day without meetings means I have no excuses for not blitzing my inbox ,2
loves my haterssss  you make me who i am today: confident carefree and I DONT GIVE NO FUCK,2
"heading home now, I wonder what Johnny is up to ",2
Ah....watching spongebob on a saturday at lunch time. I feel like a little kid again ,2
biiiirthday party.....eatin pizza and chips...I'm fully loaded ,2
Kings Island was so awesome ! I can't believe that tour is over. ,0
@AnnaDeStefano My oldest drove back to school today. Won't see her for 2 1/2 months!   But I can store stuff in her room again. ,2
@angelofmel we should definately be in Paris that week. if I get a job we most certainly will be ,2
Sunbathing  this is utter bliss,2
morning everyone!  up bright and early but not at school due to my back! it really hurts like.,2
"@MoREthANHuMAn  sorry you are still sickee. Not at work yet, at home putting on my face!",0
gettin depressed wiv this weather nw.....its horrible!!  bring back the sunshine please!,0
